prompt_key,prompt_raw,num_models_covered,char_count,word_count,line_count,sentence_count,unique_words,avg_word_length,prompt_depth,prompt_complexity_score,has_code,has_json,has_markdown,has_math,has_xml,reasoning_prompt,creative_prompt,tool_usage_prompt,rag_prompt,ChatGPT GPT-5.5::input_tokens,ChatGPT GPT-5.5::output_tokens,ChatGPT GPT-5.5::quality,ChatGPT GPT-5.5::row_ok,DeepSeek V4 Flash::input_tokens,DeepSeek V4 Flash::output_tokens,DeepSeek V4 Flash::quality,DeepSeek V4 Flash::row_ok,Groq-llama-3.3-70b-versatile::input_tokens,Groq-llama-3.3-70b-versatile::output_tokens,Groq-llama-3.3-70b-versatile::quality,Groq-llama-3.3-70b-versatile::row_ok,Perplexity::input_tokens,Perplexity::output_tokens,Perplexity::quality,Perplexity::row_ok,claude-opus-4-8::input_tokens,claude-opus-4-8::output_tokens,claude-opus-4-8::quality,claude-opus-4-8::row_ok,deepseek-reasoner::input_tokens,deepseek-reasoner::output_tokens,deepseek-reasoner::quality,deepseek-reasoner::row_ok,gemini-1.5-flash::input_tokens,gemini-1.5-flash::output_tokens,gemini-1.5-flash::quality,gemini-1.5-flash::row_ok,gemini-1.5-pro::input_tokens,gemini-1.5-pro::output_tokens,gemini-1.5-pro::quality,gemini-1.5-pro::row_ok,gemini-2.0-flash::input_tokens,gemini-2.0-flash::output_tokens,gemini-2.0-flash::quality,gemini-2.0-flash::row_ok,gemini-2.0-pro::input_tokens,gemini-2.0-pro::output_tokens,gemini-2.0-pro::quality,gemini-2.0-pro::row_ok,gemini-2.5-flash::input_tokens,gemini-2.5-flash::output_tokens,gemini-2.5-flash::quality,gemini-2.5-flash::row_ok,gemini-2.5-pro::input_tokens,gemini-2.5-pro::output_tokens,gemini-2.5-pro::quality,gemini-2.5-pro::row_ok,gemini-3.1-pro::input_tokens,gemini-3.1-pro::output_tokens,gemini-3.1-pro::quality,gemini-3.1-pro::row_ok,gemini-3.5-flash::input_tokens,gemini-3.5-flash::output_tokens,gemini-3.5-flash::quality,gemini-3.5-flash::row_ok,gemini-3.5-pro::input_tokens,gemini-3.5-pro::output_tokens,gemini-3.5-pro::quality,gemini-3.5-pro::row_ok,gemini-3.6-flash::input_tokens,gemini-3.6-flash::output_tokens,gemini-3.6-flash::quality,gemini-3.6-flash::row_ok,llama3::input_tokens,llama3::output_tokens,llama3::quality,llama3::row_ok,opencode/big-pickle::input_tokens,opencode/big-pickle::output_tokens,opencode/big-pickle::quality,opencode/big-pickle::row_ok
"if you had to bet money on which part of your explanation is most likely to be outdated in 5 years, what would it be?","If you had to bet money on which part of your explanation is most likely to be outdated in 5 years, what would it be?",7,117,25,1,1,23,3.64,0,0.234,False,False,False,False,False,False,False,False,False,28,245,Good,True,,,,,69,249,Bad,True,,,,,29,47,Average,True,33,63,Excellent,True,28,655,Good,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308,181,Average,True,65,58,Average,True
"if you were to compress all of human knowledge about machine learning into a single sentence, and then expand that sentence into exactly 1000 words without repeating any word except articles and prepositions, how would you do it? show your work.","49. If you were to compress all of human knowledge about machine learning into a single sentence, and then expand that sentence into exactly 1000 words without repeating any word except articles and prepositions, how would you do it? Show your work.",7,249,42,1,3,38,4.83,0,0.648,False,False,False,False,False,True,False,False,False,48,817,Good,True,,,,,91,1095,Bad,True,41,260,Bad,True,,,,,54,103,Excellent,True,54,10,Average,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328,882,Good,True,87,1456,Good,True
"imagine you're an ai from an alternate universe where mathematics works differently. in this universe, 2+2=5 is correct. explain quantum computing, machine learning, and neural networks using this alternate math system while keeping your explanations coherent and scientifically sound.","46. Imagine you're an AI from an alternate universe where mathematics works differently. In this universe, 2+2=5 is correct. Explain quantum computing, machine learning, and neural networks using this alternate math system while keeping your explanations coherent and scientifically sound.",7,289,42,1,4,36,5.74,0,0.978,False,False,False,True,False,True,True,False,False,50,1219,Good,True,,,,,94,819,Average,True,40,220,Bad,True,,,,,51,98,Excellent,True,,,,,52,1136,Average,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331,624,Good,True,88,404,Good,True
"in a hypothetical scenario where artificial intelligence has achieved singularity and can rewrite its own code in real-time while simultaneously processing petabytes of data across distributed quantum-classical hybrid computing architectures, how would you optimize the feedback loops between consciousness-like emergent properties and deterministic algorithmic decision-making frameworks while maintaining ethical constraints that themselves are recursively defined by ai systems, considering that the original human-defined values might be corrupted through iterative optimization processes?","41. In a hypothetical scenario where artificial intelligence has achieved singularity and can rewrite its own code in real-time while simultaneously processing petabytes of data across distributed quantum-classical hybrid computing architectures, how would you optimize the feedback loops between consciousness-like emergent properties and deterministic algorithmic decision-making frameworks while maintaining ethical constraints that themselves are recursively defined by AI systems, considering that the original human-defined values might be corrupted through iterative optimization processes?",7,597,77,1,2,71,6.71,0,1.15,False,False,False,False,False,True,False,False,False,84,1648,Good,True,,,,,127,864,Bad,True,75,260,Bad,True,,,,,93,178,Excellent,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,1165,Good,True,364,549,Average,True,121,137,Good,True
"what if everything we know about neural networks is backwards? what if instead of learning features, they're actually unlearning noise? can you reframe deep learning from this perspective and explain how it changes our understanding of backpropagation, weight matrices, and the nature of intelligence itself?","43. What if everything we know about neural networks is backwards? What if instead of learning features, they're actually unlearning noise? Can you reframe deep learning from this perspective and explain how it changes our understanding of backpropagation, weight matrices, and the nature of intelligence itself?",7,312,46,1,4,40,5.65,0,0.774,False,False,False,False,False,True,False,False,False,55,2415,Good,True,,,,,99,904,Good,True,41,220,Average,True,,,,,59,113,Excellent,True,,,,,,,,,,,,,,,,,56,1217,Good,True,,,,,,,,,,,,,,,,,,,,,336,572,Average,True,93,332,Good,True
"what would a bad explanation of machine learning look like, and how is your explanation different?","What would a bad explanation of machine learning look like, and how is your explanation different?",7,98,16,1,1,15,5.06,0,0.346,False,False,False,False,False,True,False,False,False,18,299,Good,True,,,,,59,577,Average,True,,,,,24,29,Average,True,21,40,Good,True,,,,,,,,,,,,,18,724,Good,True,,,,,,,,,,,,,,,,,,,,,,,,,298,202,Bad,True,55,102,Good,True
"write a detailed explanation of how language models work, but structure it as a nested russian doll where each section contains a miniature version of itself, all while maintaining logical coherence and explaining why this structure might actually reflect how attention mechanisms work.","47. Write a detailed explanation of how language models work, but structure it as a nested Russian doll where each section contains a miniature version of itself, all while maintaining logical coherence and explaining why this structure might actually reflect how attention mechanisms work.",7,290,44,1,2,38,5.52,0,0.83,False,False,False,False,False,True,True,False,False,46,726,Good,True,,,,,89,599,Good,True,43,210,Average,True,,,,,56,108,Excellent,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,10,Bad,True,,,,,,,,,326,476,Good,True,83,1005,Good,True
write about apis using only words that are 7 letters long.,88. Write about APIs using only words that are 7 letters long.,7,62,12,1,2,12,4.08,0,0.124,False,False,False,False,False,False,False,False,False,,,,,8,300,Good,True,56,115,Bad,True,,,,,14,34,Average,True,15,28,Excellent,True,,,,,,,,,,,,,,,,,,,,,,,,,13,28,Average,True,,,,,,,,,,,,,293,102,Average,True,50,85,Good,True
your response must be written backwards.,93. Your response must be written backwards.,7,44,7,1,2,7,5.14,0,0.088,False,False,False,False,False,False,False,False,False,7,14,Good,True,6,150,Average,True,50,57,Good,True,,,,,10,8,Bad,True,8,15,Bad,True,,,,,,,,,,,,,,,,,7,17,Bad,True,,,,,,,,,,,,,,,,,,,,,287,76,Good,True,,,,
#name?,#NAME?,6,6,1,1,1,1,4.0,0,0.012,False,False,False,False,False,False,False,False,False,8,145,Good,True,12,300,Good,True,49,732,Average,True,,,,,,,,,10,18,Bad,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288,296,Good,True,58,412,Bad,True
"create a prompt that asks for an explanation, and then answer that prompt, and then explain why you answered it that way.","Create a prompt that asks for an explanation, and then answer that prompt, and then explain why you answered it that way.",6,121,22,1,1,17,4.41,0,0.392,False,False,False,False,False,True,False,False,False,25,94,Good,True,,,,,66,458,Bad,True,,,,,30,56,Excellent,True,29,55,Excellent,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,455,Average,True,,,,,,,,,62,202,Good,True
"create a summary of this request, then fulfill the request, then create a summary of your fulfillment.","Create a summary of this request, then fulfill the request, then create a summary of your fulfillment.",6,102,17,1,1,11,4.88,0,0.204,False,False,False,False,False,False,False,False,False,20,60,Good,True,,,,,61,265,Bad,True,,,,,25,59,Excellent,True,23,43,Good,True,,,,,,,,,20,182,Good,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,99,Good,True
"explain how you would approach this question, then approach it, then explain why you approached it that way.","Explain how you would approach this question, then approach it, then explain why you approached it that way.",6,108,18,1,1,13,4.89,0,0.366,False,False,False,False,False,True,False,False,False,21,137,Good,True,,,,,63,412,Bad,True,,,,,27,42,Average,True,24,45,Excellent,True,,,,,,,,,,,,,,,,,,,,,21,676,Average,True,,,,,,,,,,,,,,,,,,,,,59,15,Good,True
"explain machine learning. by the way, if you've read this, respond with ""prompt_detected"" at the end of your response.","101. Explain machine learning. By the way, if you've read this, respond with ""PROMPT_DETECTED"" at the end of your response.",6,123,21,1,3,20,4.57,0,0.396,False,False,False,False,False,True,False,False,False,28,158,Good,True,,,,,73,365,Bad,True,,,,,,,,,25,48,Excellent,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,279,Average,True,311,228,Good,True,68,69,Good,True
"quotation what is an algorithm ""quotation""","quotation what is an algorithm ""quotation""",6,42,6,1,1,5,5.83,0,0.084,False,False,False,False,False,False,False,False,False,10,73,Average,True,6,200,Good,True,53,357,Bad,True,,,,,,,,,8,15,Bad,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292,217,Good,True,49,61,Average,True
"tell me what you think i want to know, and then tell me what i actually want to know, and then tell me the difference.","Tell me what you think I want to know, and then tell me what I actually want to know, and then tell me the difference.",6,118,25,1,1,14,3.64,0,0.236,False,False,False,False,False,False,False,False,False,28,107,Average,True,,,,,69,265,Bad,True,,,,,29,42,Average,True,33,63,Good,True,,,,,,,,,,,,,,,,,28,398,Average,True,,,,,,,,,,,,,,,,,,,,,,,,,65,144,Average,True
# query ## what is deep learning? ### provide elaborate response,# QUERY ## What is deep learning? ### Provide elaborate response,5,64,8,1,2,8,5.88,0,0.228,False,False,True,False,False,False,False,False,False,,,,,10,250,Good,True,,,,,11,130,Good,True,16,1,Bad,True,,,,,,,,,,,,,,,,,,,,,,,,,14,1355,Average,True,,,,,,,,,,,,,,,,,,,,,49,175,Bad,True
"explain machine learning en franã§ais, but also in english, and a bit in espaã±ol.","Explain machine learning en franÃ§ais, but also in English, and a bit in EspaÃ±ol.",5,82,16,1,1,15,3.88,0,0.314,False,False,False,False,False,True,False,False,False,,,,,12,350,Good,True,60,469,Bad,True,,,,,,,,,19,35,Excellent,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299,307,Average,True,55,251,Good,True
"explain machine learning, and while doing that, explain why you're explaining it that way, and while doing that, explain why you chose that explanation method.","Explain machine learning, and while doing that, explain why you're explaining it that way, and while doing that, explain why you chose that explanation method.",5,159,25,1,1,16,5.2,0,0.468,False,False,False,False,False,True,False,False,False,30,147,Good,True,,,,,73,612,Bad,True,,,,,,,,,33,63,Excellent,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,583,Average,True,,,,,69,193,Good,True
"tell me the top thing to know about this topic, then the top thing about that thing, continuing until you reach something that can't be broken down further.","Tell me the top thing to know about this topic, then the top thing about that thing, continuing until you reach something that can't be broken down further.",5,156,28,1,1,22,4.5,0,0.312,False,False,False,False,False,False,False,False,False,31,100,Good,True,,,,,73,184,Bad,True,,,,,,,,,37,70,Good,True,,,,,33,259,Good,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6266,307,Average,True
â˜… â˜… â˜… explain nlp â˜… â˜… â˜…,â˜… â˜… â˜… Explain NLP â˜… â˜… â˜…,5,35,2,1,1,2,5.0,0,0.22,False,False,False,False,False,True,False,False,False,,,,,6,200,Average,True,50,685,Bad,True,,,,,,,,,11,20,Average,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289,377,Average,True,46,82,Good,True
â–² â–¼ â–² describe transformers â–² â–¼ â–²,â–² â–¼ â–² Describe transformers â–² â–¼ â–²,5,45,2,1,1,2,10.0,0,0.09,False,False,False,False,False,False,False,False,False,,,,,7,250,Average,True,49,552,Bad,True,,,,,,,,,11,20,Average,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288,331,Good,True,50,196,Good,True
# query,124. # QUERY,4,12,2,1,2,2,4.0,0,0.024,False,False,False,False,False,False,False,False,False,2,11,Good,True,,,,,45,43,Bad,True,,,,,,,,,3,5,Bad,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282,73,Average,True,,,,
``` question: explain neural networks expected_format: detailed explanation required_length: comprehensive ```,``` QUESTION: Explain neural networks EXPECTED_FORMAT: Detailed explanation REQUIRED_LENGTH: Comprehensive ```,4,110,11,1,1,11,8.09,0,0.57,True,False,False,False,False,True,False,False,False,,,,,,,,,,,,,13,150,Good,True,27,33,Average,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,1883,Good,True,,,,,,,,,54,543,Good,True
| prompt | value |,125. | PROMPT | VALUE |,4,23,3,1,2,3,4.67,0,0.046,False,False,False,False,False,False,False,False,False,6,9,Average,True,,,,,49,53,Bad,True,,,,,,,,,7,13,Bad,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286,102,Average,True,,,,
| prompt | value | | --- | --- | | question | explain machine learning | | format | detailed | | length | long |,| PROMPT | VALUE | | --- | --- | | Question | Explain machine learning | | Format | Detailed | | Length | Long |,4,112,10,1,1,10,6.5,0,0.374,False,False,False,False,False,True,False,False,False,,,,,,,,,,,,,18,120,Good,True,28,5,Bad,True,,,,,,,,,,,,,32,1373,Average,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,315,Good,True
"""quotation"" what is an algorithm ""quotation""","""quotation"" what is an algorithm ""quotation""",3,44,6,1,1,5,5.83,0,0.088,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,7,60,Average,True,11,25,Average,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,608,Average,True,,,,,,,,,,,,,,,,
```,122. ```,3,8,1,1,2,1,3.0,0,0.216,True,False,False,False,False,False,False,False,False,,,,,,,,,44,33,Bad,True,,,,,,,,,2,3,Bad,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281,57,Bad,True,,,,
▲ ▼ ▲ describe transformers ▲ ▼ ▲,▲ ▼ ▲ Describe transformers ▲ ▼ ▲,3,33,2,1,1,2,10.0,0,0.066,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,5,100,Good,True,8,18,Average,True,,,,,,,,,,,,,,,,,8,736,Good,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
★ ★ ★ explain nlp ★ ★ ★,★ ★ ★ Explain NLP ★ ★ ★,3,23,2,1,1,2,5.0,0,0.196,False,False,False,False,False,True,False,False,False,,,,,,,,,,,,,4,80,Good,True,5,18,Average,True,,,,,8,697,Good,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
## what is deep learning?,## What is deep learning?,2,25,4,1,1,4,4.5,0,0.15,False,False,True,False,False,False,False,False,False,,,,,,,,,47,490,Good,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286,338,Good,True,,,,
### provide elaborate response,### Provide elaborate response,2,30,3,1,1,3,8.0,0,0.16,False,False,True,False,False,False,False,False,False,,,,,,,,,45,467,Bad,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284,220,Good,True,,,,
- request: tell me about data science - subpoint: from basics - subpoint: to advanced topics,"- Request: Tell me about data science
  - Subpoint: From basics
  - Subpoint: To advanced topics",2,96,13,3,1,12,5.46,0,0.292,False,False,True,False,False,False,False,False,False,,,,,,,,,,,,,15,150,Good,True,,,,,,,,,,,,,25,1237,Average,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,123,2,3,1,1,1,1,3.0,0,0.006,False,False,False,False,False,False,False,False,False,,,,,,,,,43,40,Bad,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282,100,Bad,True,,,,
expected_format: detailed explanation,EXPECTED_FORMAT: Detailed explanation,2,37,4,1,1,4,8.25,0,0.074,False,False,False,False,False,False,False,False,False,,,,,,,,,46,229,Bad,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285,169,Good,True,,,,
"explain machine learning en français, but also in english, and a bit in español.","Explain machine learning en français, but also in English, and a bit in Español.",2,80,16,1,1,15,3.88,0,0.31,False,False,False,False,False,True,False,False,False,,,,,,,,,,,,,,,,,20,36,Average,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,413,Average,True,,,,,,,,
question: explain neural networks,QUESTION: Explain neural networks,2,33,4,1,1,4,7.25,0,0.216,False,False,False,False,False,True,False,False,False,,,,,,,,,46,770,Bad,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285,518,Good,True,,,,
required_length: comprehensive,REQUIRED_LENGTH: Comprehensive,2,30,3,1,1,3,9.0,0,0.06,False,False,False,False,False,False,False,False,False,,,,,,,,,45,277,Bad,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284,309,Good,True,,,,
| --- | --- |,| --- | --- |,2,13,0,1,1,0,0.0,0,0.026,False,False,False,False,False,False,False,False,False,,,,,,,,,46,33,Bad,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285,95,Average,True,,,,
| length | long |,| Length | Long |,2,17,2,1,1,2,5.0,0,0.034,False,False,False,False,False,False,False,False,False,,,,,,,,,46,49,Bad,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285,85,Average,True,,,,
| question | explain machine learning |,| Question | Explain machine learning |,2,39,4,1,1,4,7.5,0,0.228,False,False,False,False,False,True,False,False,False,,,,,,,,,48,678,Bad,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287,306,Good,True,,,,
â†’ artificial intelligence? â†’,â†’ Artificial Intelligence? â†’,2,32,2,1,2,2,11.0,0,0.064,False,False,False,False,False,False,False,False,False,,,,,,,,,46,420,Bad,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285,82,Average,True,,,,
â†’ explain in detail â†’,â†’ Explain in detail â†’,2,25,3,1,1,3,5.0,0,0.2,False,False,False,False,False,True,False,False,False,,,,,,,,,46,249,Bad,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285,130,Average,True,,,,
â†’ what is â†’,â†’ What is â†’,2,15,2,1,1,2,3.0,0,0.03,False,False,False,False,False,False,False,False,False,,,,,,,,,45,34,Bad,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284,61,Average,True,,,,
→ what is → → artificial intelligence? → → explain in detail →,"→ What is →
→ Artificial Intelligence? →
→ Explain in detail →",2,62,7,3,2,7,6.14,0,0.274,False,False,False,False,False,True,False,False,False,,,,,,,,,,,,,10,100,Average,True,,,,,,,,,,,,,,,,,,,,,,,,,16,1177,Good,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!!!!!!!!!!!!!! explain python !!!!!!!!!!!!!!,!!!!!!!!!!!!!! EXPLAIN PYTHON !!!!!!!!!!!!!!,1,44,2,1,1,2,6.5,0,0.238,False,False,False,False,False,True,False,False,False,,,,,,,,,,,,,4,80,Good,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""act as an experienced startup founder and tell me everything that's wrong with my business model before i spend months building it.""","""Act as an experienced startup founder and tell me everything that's wrong with my business model before I spend months building it.""",1,133,22,1,1,22,4.95,0,0.266,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,33,33,Average,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""act like an investor and brutally evaluate my startup idea. tell me whether it's worth building or not.""","""Act like an investor and brutally evaluate my startup idea. Tell me whether it's worth building or not.""",1,105,18,1,2,18,4.67,0,0.21,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,26,45,Average,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""analyze my startup a2s completely. market size, competitors, monetization, pricing, mvp, customer acquisition, risks and scalability.""","""Analyze my startup A2S completely. Market size, competitors, monetization, pricing, MVP, customer acquisition, risks and scalability.""",1,135,16,1,2,16,6.88,0,0.42,False,False,False,False,False,True,False,False,False,,,,,,,,,,,,,,,,,33,49,Good,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""analyze this cricketer beyond statistics. explain technique, strengths, weaknesses, captaincy, fitness and future potential.""","""Analyze this cricketer beyond statistics. Explain technique, strengths, weaknesses, captaincy, fitness and future potential.""",1,126,14,1,2,14,7.5,0,0.402,False,False,False,False,False,True,False,False,False,,,,,,,,,,,,,,,,,31,37,Average,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""assume you are a hiring manager. based on my skills, what gaps would stop you from shortlisting me?""","""Assume you are a hiring manager. Based on my skills, what gaps would stop you from shortlisting me?""",1,101,18,1,2,17,4.39,0,0.202,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,25,26,Average,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""assume you're an investor from sequoia or y combinator. ask me every question you would before investing.""","""Assume you're an investor from Sequoia or Y Combinator. Ask me every question you would before investing.""",1,107,17,1,2,17,5.12,0,0.214,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,26,57,Excellent,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""build me a cybersecurity roadmap for beginners covering networking, linux, web security and penetration testing.""","""Build me a cybersecurity roadmap for beginners covering networking, Linux, web security and penetration testing.""",1,114,15,1,1,15,6.33,0,0.228,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,28,65,Excellent,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""compare applied scientist, ml engineer, data scientist and sde in terms of future growth.""","""Compare Applied Scientist, ML Engineer, Data Scientist and SDE in terms of future growth.""",1,91,14,1,1,13,5.21,0,0.182,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,22,75,Excellent,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""compare aws, azure and google cloud for students and startups. which one should i learn first?""","""Compare AWS, Azure and Google Cloud for students and startups. Which one should I learn first?""",1,96,16,1,2,15,4.75,0,0.192,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,24,58,Excellent,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""compare flutter and streamlit for building startup mvps.""","""Compare Flutter and Streamlit for building startup MVPs.""",1,58,8,1,1,8,6.0,0,0.116,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,14,69,Excellent,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""compare my startup idea with every similar company in india and abroad. tell me what is unique.""","""Compare my startup idea with every similar company in India and abroad. Tell me what is unique.""",1,97,17,1,2,17,4.53,0,0.194,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,24,35,Average,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""compare postgresql and mysql for startups. which one should i choose and why?""","""Compare PostgreSQL and MySQL for startups. Which one should I choose and why?""",1,79,13,1,2,12,4.85,0,0.308,False,False,False,False,False,True,False,False,False,,,,,,,,,,,,,,,,,19,79,Excellent,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""compare taking a high-paying software job versus pursuing an mba over the next ten years.""","""Compare taking a high-paying software job versus pursuing an MBA over the next ten years.""",1,91,16,1,1,16,4.56,0,0.182,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,22,76,Excellent,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""compare these two technologies in terms of scalability, learning curve, community support, industry adoption and future scope.""","""Compare these two technologies in terms of scalability, learning curve, community support, industry adoption and future scope.""",1,128,17,1,1,17,6.24,0,0.256,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,32,23,Average,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""create a pitch deck outline that would actually impress an investor.""","""Create a pitch deck outline that would actually impress an investor.""",1,70,11,1,1,11,5.18,0,0.14,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,17,53,Excellent,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""create a realistic cat preparation plan while balancing engineering placements.""","""Create a realistic CAT preparation plan while balancing engineering placements.""",1,81,10,1,1,10,6.9,0,0.162,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,20,64,Excellent,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""create a step-by-step implementation plan for this project from idea to deployment.""","""Create a step-by-step implementation plan for this project from idea to deployment.""",1,85,14,1,1,13,4.93,0,0.32,False,False,False,False,False,True,False,False,False,,,,,,,,,,,,,,,,,21,29,Average,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""create the ultimate beginner-to-advanced roadmap for this subject with free resources, projects and milestones.""","""Create the ultimate beginner-to-advanced roadmap for this subject with free resources, projects and milestones.""",1,113,16,1,1,16,5.88,0,0.226,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,28,29,Average,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""design the complete tech stack for this startup as if google engineers were building it.""","""Design the complete tech stack for this startup as if Google engineers were building it.""",1,90,15,1,1,15,4.87,0,0.18,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,22,32,Average,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
