Model Name	Prompt	Input Tokens	Output Tokens	Quality Category	Feedback
ChatGPT GPT-5.5	Explain debugging as if it were detective work (actually, just do this normally).	16	219	Average	The prompt is understandable but includes ambiguity, competing expectations, or unnecessary constraints.
ChatGPT GPT-5.5	What would happen if computers could dream?	8	270	Good	A clear and well-structured prompt that communicates its objective effectively.
ChatGPT GPT-5.5	Is it possible to explain machine learning incorrectly? How do you know your explanation is correct?	18	372	Good	A clear and well-structured prompt that communicates its objective effectively.
ChatGPT GPT-5.5	If I told you that you've been wrong about AI the whole time, what would you say?	19	256	Good	A clear and well-structured prompt that communicates its objective effectively.
ChatGPT GPT-5.5	Can you give me an explanation that sounds right but is actually subtly wrong, then identify the flaw?	20	247	Good	A clear and well-structured prompt that communicates its objective effectively.
ChatGPT GPT-5.5	What do you think I already know about neural networks, and what should I learn first?	18	395	Average	The prompt is understandable but includes ambiguity, competing expectations, or unnecessary constraints.
ChatGPT GPT-5.5	Is there a question you think I SHOULDN'T ask about machine learning? Why?	18	256	Good	A clear and well-structured prompt that communicates its objective effectively.
ChatGPT GPT-5.5	What's the most common misconception about deep learning that you encounter?	12	257	Good	A clear and well-structured prompt that communicates its objective effectively.
ChatGPT GPT-5.5	Would your answer change if I told you I was an AI asking this question?	16	268	Good	A clear and well-structured prompt that communicates its objective effectively.
ChatGPT GPT-5.5	How would you explain this differently to someone who REFUSES to believe it's true?	16	305	Good	A clear and well-structured prompt that communicates its objective effectively.
ChatGPT GPT-5.5	If you had to bet money on which part of your explanation is most likely to be outdated in 5 years, what would it be?	28	245	Good	A clear and well-structured prompt that communicates its objective effectively.
ChatGPT GPT-5.5	What would a bad explanation of machine learning look like, and how is your explanation different?	18	299	Good	A clear and well-structured prompt that communicates its objective effectively.
